"Date","Price","Open","High","Low","Vol.","Change %"
"16/10/2023","444.10","442.39","447.38","442.39","30.70M","0.77%"
"13/10/2023","440.71","443.95","448.55","438.26","28.36M","-0.98%"
"12/10/2023","445.09","459.15","459.15","440.50","37.07M","-3.53%"
"11/10/2023","461.38","462.95","466.58","457.21","24.78M","-0.23%"
"10/10/2023","462.46","459.72","468.53","459.72","29.80M","0.84%"
"09/10/2023","458.63","457.21","461.29","451.74","24.99M","0.10%"
"06/10/2023","458.15","450.45","462.31","448.55","38.77M","1.83%"
"05/10/2023","449.90","450.97","453.77","447.72","33.76M","-0.52%"
"04/10/2023","452.25","454.29","456.32","447.21","36.28M","-0.23%"
"03/10/2023","453.29","454.07","457.66","448.82","38.58M","-0.69%"
"02/10/2023","456.45","461.69","463.18","453.07","34.30M","-1.08%"
"29/09/2023","461.44","461.90","467.87","459.45","36.10M","0.05%"
"28/09/2023","461.22","457.62","463.93","456.77","38.02M","1.32%"
"27/09/2023","455.19","450.52","457.69","450.03","37.51M","1.49%"
"26/09/2023","448.51","456.36","457.17","447.45","37.59M","-1.82%"
"25/09/2023","456.84","451.58","457.36","449.95","36.82M","0.85%"
"22/09/2023","453.00","450.86","457.40","450.86","38.98M","0.71%"
"21/09/2023","449.81","459.16","459.16","449.62","35.02M","-2.64%"
"20/09/2023","462.01","467.43","472.63","461.85","34.27M","-0.59%"
"19/09/2023","464.73","466.90","471.25","461.19","47.21M","-0.16%"
"18/09/2023","465.48","465.93","470.31","463.41","29.94M","-0.40%"
"15/09/2023","467.37","480.62","480.62","466.28","55.28M","-2.86%"
"14/09/2023","481.11","473.53","483.55","473.53","37.45M","2.65%"
"13/09/2023","468.70","472.75","473.93","466.08","25.23M","-0.93%"
"12/09/2023","473.10","471.51","477.64","468.53","27.42M","0.06%"
"11/09/2023","472.82","479.95","483.91","471.12","30.31M","-0.22%"
"08/09/2023","473.86","479.73","479.73","472.84","28.15M","-1.55%"
"07/09/2023","481.31","482.86","482.86","474.61","37.96M","-0.74%"
"06/09/2023","484.88","489.21","489.69","478.60","26.06M","-1.01%"
"05/09/2023","489.82","499.32","499.32","489.48","25.85M","-1.93%"
"01/09/2023","499.46","491.89","503.02","491.89","30.16M","1.85%"
"31/08/2023","490.40","489.81","492.12","487.81","43.26M","0.26%"
"30/08/2023","489.11","491.21","492.26","487.68","24.88M","-0.42%"
"29/08/2023","491.19","475.96","491.42","474.71","33.07M","3.24%"
"28/08/2023","475.78","471.85","479.83","471.85","26.57M","0.94%"
"25/08/2023","471.36","473.07","475.00","465.11","28.93M","0.06%"
"24/08/2023","471.08","477.46","477.46","468.90","36.71M","-1.59%"
"23/08/2023","478.69","479.82","484.13","477.63","57.05M","-0.28%"
"22/08/2023","480.05","480.06","484.90","477.75","35.67M","0.42%"
"21/08/2023","478.02","480.08","482.25","474.54","42.94M","-0.36%"
"18/08/2023","479.75","482.07","482.07","475.87","46.63M","-0.51%"
"17/08/2023","482.22","484.21","493.02","481.49","47.51M","0.16%"
"16/08/2023","481.47","484.27","490.57","481.35","78.02M","-0.81%"
"15/08/2023","485.41","496.54","496.54","483.79","78.01M","-2.60%"
"14/08/2023","498.39","488.79","498.73","480.95","182.86M","2.98%"
